Original_ID,Common_name,SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year
Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,11.13,10^-6 cm/s,Papp AB,-4.954,Log Papp AB,11.13,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (A-B) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022
Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,51.91,10^-6 cm/s,Papp BA,-4.285,Log Papp BA,51.91,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (B-A) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022
Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,4.67,    ,ER,4.67,ER,4.67,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Excretion ratio= Papp (B-A) / Papp (A-B)",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022
Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,3.31,10^-6 cm/s,Papp AB,-5.48,Log Papp AB,3.31,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (A-B) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022
Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,64.41,10^-6 cm/s,Papp BA,-4.191,Log Papp BA,64.41,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (B-A) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022
Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,19.42,    ,ER,19.42,ER,19.42,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Excretion ratio= Papp (B-A) / Papp (A-B)",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022
502,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)C(F)(F)F)NCCOC2C=CC=CC=2CCCNC([C@H](CN(C)C)N1)=O)=O,5,10^-6 cm/s,Papp AB,-5.301,Log Papp AB,5,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
502,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)C(F)(F)F)NCCOC2C=CC=CC=2CCCNC([C@H](CN(C)C)N1)=O)=O,11,10^-6 cm/s,Papp BA,-4.959,Log Papp BA,11,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
502,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2=CC(=CC=C2)C(F)(F)F)NCCOC2C=CC=CC=2CCCNC([C@H](CN(C)C)N1)=O)=O,2,    ,ER,2,ER,2,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
508,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(C=2)Cl)NCCOC2C=CC=CC=2CCCNC([C@H](CCN(C)C)N1)=O)=O,1,10^-6 cm/s,Papp AB,-6,Log Papp AB,1,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
508,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(C=2)Cl)NCCOC2C=CC=CC=2CCCNC([C@H](CCN(C)C)N1)=O)=O,5,10^-6 cm/s,Papp BA,-5.301,Log Papp BA,5,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
508,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(C=2)Cl)NCCOC2C=CC=CC=2CCCNC([C@H](CCN(C)C)N1)=O)=O,5,    ,ER,5,ER,5,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
511,    ,Clc1cccc(C[C@H]2NCCOc3ccccc3CCCNC(=O)[C@H](Cn3cccc3)NC(=O)[C@@H](C(C)C)NC2=O)c1,1,    ,ER,1,ER,1,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patents.google.com/patent/EP2054429B1/en?oq=EP2054429B1,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
511,    ,Clc1cccc(C[C@H]2NCCOc3ccccc3CCCNC(=O)[C@H](Cn3cccc3)NC(=O)[C@@H](C(C)C)NC2=O)c1,15,10^-6 cm/s,Papp AB,-4.823908741,Log Papp AB,15,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patents.google.com/patent/EP2054429B1/en?oq=EP2054429B1,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
511,    ,Clc1cccc(C[C@H]2NCCOc3ccccc3CCCNC(=O)[C@H](Cn3cccc3)NC(=O)[C@@H](C(C)C)NC2=O)c1,17,10^-6 cm/s,Papp BA,-4.769551079,Log Papp BA,17,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patents.google.com/patent/EP2054429B1/en?oq=EP2054429B1,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
512,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(Cl)C=2)NCCOC2=C(CCCNC([C@H](CNC)N1)=O)C=CC=C2)=O,0.3,10^-6 cm/s,Papp AB,-6.523,Log Papp AB,0.3,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention,Papp A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
512,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(Cl)C=2)NCCOC2=C(CCCNC([C@H](CNC)N1)=O)C=CC=C2)=O,11,10^-6 cm/s,Papp BA,-4.959,Log Papp BA,11,Caco-2,Caco-2 Permeability Assays for Representative Compounds of the InventionPapp B to A,https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
512,    ,O=C1[C@@H](C(C)C)NC([C@@H](CC2C=CC=C(Cl)C=2)NCCOC2=C(CCCNC([C@H](CNC)N1)=O)C=CC=C2)=O,37,    ,ER,37,ER,37,Caco-2,"Caco-2 Permeability Assays for Representative Compounds of the Invention, B to A/A to B",https://patentimages.storage.googleapis.com/58/f4/9a/23b4a38cabb02b/EP2054429B1.pdf,Patents,EP2054429B1,"(Marsault et al., 2008)",2013
