ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0012,1503,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)[C@H](CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)O)CC1C=C(C=CC=1)F,CC(C)[C@@H]1NCCOc2ccccc2C[C@H](O)[C@@H](C)NC(=O)[C@@H](Cc2cccc(F)c2)NC(=O)[C@H](C(C)O)N(C)C1=O,8.53,    ,ER+Inh.,8.53,ER+,8.53,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1CCNCCNCCNCCNCCOCC1,CC1NCCOc2ccccc2CC(O)C(C)NC(=O)C(Cc2ccccc2)NC(=O)C(C)N(C)C1=O,0.333,0.5,3,2,1.176,586.705,7,5,42,31,0.516,140.23,4,0,0,11.839,IOEZDPQDMJIGAP-AVYQPTBLSA-N
MC-0013,1505,    ,OC(C)C1C(=O)N[C@@H](C(=O)N[C@@H](CCC2C=CC(=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)F)CC)CC1=CNC2C=CC=CC1=2,CC[C@@H]1CCc2ccc(F)cc2OCCN[C@@H](C(C)C)C(=O)N(C)C(C(C)O)C(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)N1,5.69,    ,ER+Inh.,5.69,ER+,5.69,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1CCNCCNCCNCCNCCOCC1,C=C(CC1NC(=O)C(C)N(C)C(=O)C(C)NCCOc2cc(F)ccc2CCC(C)NC1=O)c1ccccc1,0.333,0.5,4,3,3.076,623.77,6,5,45,34,0.5,135.79,5,0,0,11.576,UHGHSBAHYKRNMA-NJUGWKPBSA-N
MC-0014,1688,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)N[C@H](C)C#CC2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)CC1=CC=CC=C1,CC(C)[C@@H]1NCCOc2ccccc2C#C[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C(C)O)N(C)C1=O,2.75,    ,ER+Inh.,2.75,ER+,2.75,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1#CCNCCNCCNCCNCCOCC1,CC1C#Cc2ccccc2OCCNC(C)C(=O)N(C)C(C)C(=O)NC(Cc2ccccc2)C(=O)N1,0.333,0.5,3,2,1.485,548.684,6,4,40,31,0.452,120.0,4,0,0,11.115,JWILPVURJDMZGB-SFOLDJSHSA-N
MC-0015,1777,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3CCC(CNC([C@@H](C)C)C(N1C)=O)OC3=2)CC1=CC=CC=C1,CC(C)C1NCC2CCc3cccc(c3O2)CCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C(C)O)N(C)C1=O,1.98,    ,ER+Inh.,1.98,ER+,1.98,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1CCNCCNCCNCCNCCOCC1,CC1NCC2CCc3cccc(c3O2)CCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)N(C)C1=O,0.333,0.5,4,2,1.992,564.727,6,4,41,32,0.531,120.0,4,0,0,10.394,PXMPUSICYOSMAQ-MDRNOUDVSA-N
MC-0016,1778,    ,OC(C)[C@H]1C(=O)N[C@@H](C(=O)NCCCC2C=CC=C3C=2OC(CC3)CN[C@@H](C2CC2)C(N1C)=O)CC1=CC=CC=C1,CC(O)[C@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCCCc2cccc3c2OC(CC3)CN[C@@H](C2CC2)C(=O)N1C,7.6,    ,ER+Inh.,7.6,ER+,7.6,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,3,0,3,C1CCNCCNCCNCCNCCOCC1,CC1CNC(C)C(=O)NC(C)C(=O)NC(Cc2ccccc2)C(=O)NCCCc2ccccc2O1,0.5,0.5,5,2,1.746,562.711,6,4,41,32,0.531,120.0,4,0,0,9.247,VCVDUCBAESSWTM-NGIGVKCASA-N
MC-0017,1780,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NCCCC2C=CC=C3CCC(CN[C@@H](CC)C(N1C)=O)OC3=2)=O)CC1=CC=CC=C1,CC[C@@H]1NCC2CCc3cccc(c3O2)CCCNC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C(C)O)N(C)C1=O,6.59,    ,ER+Inh.,6.59,ER+,6.59,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1CCNCCNCCNCCNCCOCC1,CC1NCC2CCc3cccc(c3O2)CCCNC(=O)C(Cc2ccccc2)NC(=O)C(C)N(C)C1=O,0.333,0.5,4,2,1.746,550.7,6,4,40,31,0.516,120.0,4,0,0,10.17,KDPWCPQHLOQWIL-IQOKYUKFSA-N
MC-0018,1843,    ,OC(C)[C@H]1C(=O)N[C@@H](C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(=O)N1C)=O)CC1C2C=CC=CC=2NC=1,CC(C)[C@@H]1NCCOc2ccccc2C2CCC(C2)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C(C)O)N(C)C1=O,13.5,    ,ER+Inh.,13.5,ER+,13.5,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1CCNCCNCCNCCNCCOCC1,C=C(CC1NC(=O)C(C)N(C)C(=O)C(C)NCCOc2ccccc2C2CCC(C2)NC1=O)c1ccccc1,0.333,0.5,5,3,2.862,603.764,6,5,44,34,0.5,135.79,4,0,0,9.904,JLEPDLWEVFLWTQ-KUFGETKKSA-N
MC-0019,1848,    ,OC(C)[C@H]1C(N[C@H](CC2=CC=CC=C2)C(=O)NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,CC(C)[C@@H]1NCCOc2ccccc2C2CCC(C2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C(C)O)N(C)C1=O,2.21,    ,ER+Inh.,2.21,ER+,2.21,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1CCNCCNCCNCCNCCOCC1,CC1NCCOc2ccccc2C2CCC(C2)NC(=O)C(Cc2ccccc2)NC(=O)C(C)N(C)C1=O,0.333,0.5,4,2,2.381,564.727,6,4,41,32,0.531,120.0,4,0,0,10.394,ZZGDCPBDOIQECU-GSBUZMQLSA-N
MC-0020,1876,    ,OC(C)[C@H]1C(N[C@@H](C(NCC#CC2=C(C=CC=C2F)OCCN[C@@H](C(C)2CC2)C(N1C)=O)=O)CC1C=CC=CC=1)=O,CC(O)[C@H]1C(=O)N[C@H](Cc2ccccc2)C(=O)NCC#Cc2c(F)cccc2OCCN[C@@H](C2(C)CC2)C(=O)N1C,8.52,    ,ER+Inh.,8.52,ER+,8.52,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,3,0,3,C1#CCNCCNCCNCCNCCOCC1,CCC1NCCOc2cccc(F)c2C#CCNC(=O)C(Cc2ccccc2)NC(=O)C(C)NC1=O,0.5,0.5,4,2,1.379,564.658,6,4,41,31,0.452,120.0,4,0,0,9.63,ZRSOAJHTNDDWOB-GUYWFFASSA-N
MC-0021,1903,    ,OC(C)[C@H]1C(=O)N[C@H](CC2C=CC(=CC=2)F)C(NC2CCC(C2)C2C=CC=CC=2OCCN[C@@H](C(C)C)C(N1C)=O)=O,CC(C)[C@@H]1NCCOc2ccccc2C2CCC(C2)NC(=O)[C@@H](Cc2ccc(F)cc2)NC(=O)[C@H](C(C)O)N(C)C1=O,2.39,    ,ER+Inh.,2.39,ER+,2.39,Caco-2,Efflux Ratio With P-gp inhibitor,https://patentimages.storage.googleapis.com/f2/a4/4b/9c9ec4b8eb5fe0/WO2011053821A1.pdf,Patents,WO2011053821A1,"(Hoveyda et al., 2011)",2011,18,2,1,3,C1CCNCCNCCNCCNCCOCC1,CC1NCCOc2ccccc2C2CCC(C2)NC(=O)C(Cc2ccc(F)cc2)NC(=O)C(C)N(C)C1=O,0.333,0.5,4,2,2.52,582.717,6,4,42,32,0.531,120.0,4,0,0,10.562,OJACCSXHGPLFST-QRRILLEESA-N
