ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0028,9,    ,S1C=C(C(C)C)N=C1C1=CC(=C2C=CC(=CC2=N1)OC)O[C@H]1CN2[C@@H](C1)C(=O)N[C@]1([C@@H](C1)/C=C\CCCCCNC2=O)C(NS(C1CC1)(=O)=O)=O,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCNC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,11,10^-6 cm/s,Papp,-4.959,Log Papp,11.0,Caco-2,"permeability coefficients (Papp, cm/s) were calculated from:Papp = k*Vr/(A*60),where k is the transport rate (min') defined as the slope obtained by linear regression of cumulative fraction absorbed (FAcum ) as a function of time (min), Vr is the volume in the receiver chamber (ml), and A is the area of the filter (cm')",https://patentimages.storage.googleapis.com/0c/93/f1/dadf2867b81398/WO2007014918A1.pdf,Patents,WO2007014918A1,"(De Kock et al., 2007)",2007,15,3,0,3,C1=CCCNCCNCNCCCCC1,CCC=C(OCCC1NC(=O)NCCCCCC=CC2CC2(C)NC1=O)c1ccc(O)cc1,0.6,0.6,7,3,4.635,736.917,10,3,51,36,0.528,168.92,8,0,0,9.695,FMBMILUSWDVMGF-XANICHIGSA-N
MC-0029,26,    ,S1C=C(C(C)C)N=C1C1C=C(C2C(=CC(=CC=2)OC)N=1)O[C@@H]1C[C@H]2C(=O)N[C@]3([C@@H](C3)/C=C\CCCCNC(=O)N2C1)C(=O)NS(C1CC1)(=O)=O,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCNC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,3.6,10^-6 cm/s,Papp,-5.444,Log Papp,3.6,Caco-2,"permeability coefficients (Papp, cm/s) were calculated from:Papp = k*Vr/(A*60),where k is the transport rate (min') defined as the slope obtained by linear regression of cumulative fraction absorbed (FAcum ) as a function of time (min), Vr is the volume in the receiver chamber (ml), and A is the area of the filter (cm')",https://patentimages.storage.googleapis.com/0c/93/f1/dadf2867b81398/WO2007014918A1.pdf,Patents,WO2007014918A1,"(De Kock et al., 2007)",2007,14,3,0,3,C1=CCCNCCNCNCCCC1,CCC=C(OCCC1NC(=O)NCCCCC=CC2CC2(C)NC1=O)c1ccc(O)cc1,0.644,0.644,7,3,4.245,722.89,10,3,50,35,0.514,168.92,8,0,0,9.221,JCTLBSKLWYHRLE-WXEJIKOESA-N
MC-0030,28,    ,S1C=C(C(C)C)N=C1C1C=C(C2C=CC(=CC=2N=1)OC)O[C@@H]1C[C@H]2C(=O)N[C@]3([C@@H](C3)/C=C\CCCCNC(=O)N2C1)C(=O)NS(C(C)1CC1)(=O)=O,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCNC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,8.6,10^-6 cm/s,Papp,-5.066,Log Papp,8.6,Caco-2,"permeability coefficients (Papp, cm/s) were calculated from:Papp = k*Vr/(A*60),where k is the transport rate (min') defined as the slope obtained by linear regression of cumulative fraction absorbed (FAcum ) as a function of time (min), Vr is the volume in the receiver chamber (ml), and A is the area of the filter (cm')",https://patentimages.storage.googleapis.com/0c/93/f1/dadf2867b81398/WO2007014918A1.pdf,Patents,WO2007014918A1,"(De Kock et al., 2007)",2007,14,3,0,3,C1=CCCNCCNCNCCCC1,CCC=C(OCCC1NC(=O)NCCCCC=CC2CC2(C)NC1=O)c1ccc(O)cc1,0.644,0.644,7,3,4.635,736.917,10,3,51,36,0.528,168.92,8,0,0,9.232,PMMILDVYXQZLEX-SVYJHPEKSA-N
MC-0031,33,    ,S1C=C(C(C)C)N=C1C1C=C(C2=CC=C(C=C2N=1)OC)O[C@@H]1C[C@H]2C(=O)N[C@]3([C@@H](C3)/C=C\CCCCCNC(=O)N2C1)C(=O)NS(C(C)1CC1)(=O)=O,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6(C)CC6)C[C@H]5/C=C\CCCCCNC(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1,31,10^-6 cm/s,Papp,-4.509,Log Papp,31.0,Caco-2,"permeability coefficients (Papp, cm/s) were calculated from:Papp = k*Vr/(A*60),where k is the transport rate (min') defined as the slope obtained by linear regression of cumulative fraction absorbed (FAcum ) as a function of time (min), Vr is the volume in the receiver chamber (ml), and A is the area of the filter (cm')",https://patentimages.storage.googleapis.com/0c/93/f1/dadf2867b81398/WO2007014918A1.pdf,Patents,WO2007014918A1,"(De Kock et al., 2007)",2007,15,3,0,3,C1=CCCNCCNCNCCCCC1,CCC=C(OCCC1NC(=O)NCCCCCC=CC2CC2(C)NC1=O)c1ccc(O)cc1,0.6,0.6,7,3,5.025,750.944,10,3,52,37,0.541,168.92,8,0,0,9.698,TUCCGBYIAGIEQH-JQCZDYRQSA-N
MC-0032,52,    ,O(C)C1=C(C)C2=C(C=C1)C(=CC(C1SC=C(C(F)(F)F)N=1)=N2)O[C@H]1CCN2[C@H](C(N[C@@]3(C[C@H]3/C=C\CCCCN(C2=O)C)C(=O)NS(CC)(=O)=O)=O)C1,CCS(=O)(=O)NC(=O)[C@@]12C[C@H]1/C=C\CCCCN(C)C(=O)N1CC[C@H](Oc3cc(-c4nc(C(F)(F)F)cs4)nc4c(C)c(OC)ccc34)C[C@H]1C(=O)N2,1.8,10^-6 cm/s,Papp,-5.745,Log Papp,1.8,Caco-2,"5 _M of compound 52 was prepared in Hanks balanced salt solution containing 10 rriM HEPES and 15 mM glucose at a pH of 7.4, Papp",https://patentimages.storage.googleapis.com/d6/e3/ea/f18f11e25984a8/WO2010118078A1.pdf,Patents,WO2010118078A1,"(Parsy et al., 2010)",2010,14,1,2,3,C1=CCCNCCNCNCCCC1,CCC=C(OC1CCN2C(=O)N(C)CCCCC=CC3CC3(C)NC(=O)C2C1)c1cccc(C)c1,0.215,0.644,6,3,5.039,778.876,10,2,53,35,0.514,160.13,7,0,0,10.661,LBFNIQDQVHGFEW-QBXJWKFLSA-N
MC-0085,CHEMBL532,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1,10^-6 cm/s,Papp,-6.0,Log Papp,1.0,Caco-2,Apparent permeability in human Caco2 cells,https://doi.org/10.1021/acs.jmedchem.8b01259,ChEMBL,10.1021/acs.jmedchem.8b01259,"(Naylor et al., 2018)",2018,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CCCC(OC2C(C)C(OCCC(C)(O)CO)C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C(C)CC2(C)O)O1,0.0,0.0,3,0,1.786,733.937,14,5,51,37,0.946,193.91,7,0,0,14.712,ULGZDMOVFRHVEP-RWJQBGPGSA-N
MC-0085,CHEMBL532,Erythromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,-5.43,    ,Log Papp,-5.43,Log Papp,-5.43,Caco-2,Permeability across human Caco-2 cells,https://doi.org/10.1016/j.bmc.2009.08.022,ChEMBL,10.1016/j.bmc.2009.08.022,"(Du-Cuny et al., 2009)",2009,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CCCC(OC2C(C)C(OCCC(C)(O)CO)C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C(C)CC2(C)O)O1,0.0,0.0,3,0,1.786,733.937,14,5,51,37,0.946,193.91,7,0,0,14.712,ULGZDMOVFRHVEP-RWJQBGPGSA-N
MC-0086,CHEMBL1741,Clarithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,10,10^-6 cm/s,Papp,-5.0,Log Papp,10.0,Caco-2,Apparent permeability in human Caco2 cells,https://doi.org/10.1021/acs.jmedchem.8b01259,ChEMBL,10.1021/acs.jmedchem.8b01259,"(Naylor et al., 2018)",2018,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CCCC(OC2C(C)C(OCCC(C)(O)CO)C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C(C)CC2(C)O)O1,0.0,0.0,3,0,2.44,747.964,14,4,52,38,0.947,182.91,8,0,0,15.313,AGOYDEPGAOXOCK-KCBOHYOISA-N
MC-0088,CHEMBL529,Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,1,10^-6 cm/s,Papp,-6.0,Log Papp,1.0,Caco-2,Apparent permeability in human Caco2 cells,https://doi.org/10.1021/acs.jmedchem.8b01259,ChEMBL,10.1021/acs.jmedchem.8b01259,"(Naylor et al., 2018)",2018,15,0,0,0,C1CCCCNCCCCOCCCC1,CC1CN(C)C(C)C(O)C(C)C(C)OC(=O)C(C)C(OCCC(C)(O)CO)C(C)C(OC2CCCC(C)O2)C(C)(O)C1,0.0,0.0,3,0,1.901,748.996,14,5,52,38,0.974,180.08,7,0,0,15.575,MQTOSJVFKKJCRP-BICOPXKESA-N
MC-3701,2,    ,O=C([C@@H](NCCCNC([C@H](CC(C)C)N1)=O)CC2=CC=CC=C2)N[C@H](C1=O)C,CC(C)C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NCCCNC1=O,7.7,nm/s,Papp,-6.114,Log Papp,7.7,Caco-2,,https://doi.org/10.1021/acs.jmedchem.0c00013,Journals,10.1021/acs.jmedchem.0c00013,"(Le Roux et al., 2020)",2020,13,3,0,3,C1CNCCNCCNCCNC1,CC1NC(=O)C(C)NC(=O)C(Cc2ccccc2)NCCCNC1=O,0.693,0.693,2,1,0.743,388.512,4,4,28,21,0.571,99.33,4,0,0,8.444,VJVKQBAITQTUNB-SZMVWBNQSA-N
