ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Kier_index,InchiKey
MC-0001,Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,C[C@H]1Nc2nc3c(cnn3cc2F)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,11.13,10^-6 cm/s,Papp AB,-4.954,Log Papp AB,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (A-B) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.229,386.362,7,2,28,18,0.333,93.44,0,3.677,JXLZJPYLDDSEQF-IEBDPFPHSA-N
MC-0002,Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,C[C@H]1Nc2ccn3ncc(c3n2)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,3.31,10^-6 cm/s,Papp AB,-5.48,Log Papp AB,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (A-B) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.09,368.372,7,2,27,18,0.333,93.44,0,3.492,MPTHHGRJSLVPSX-JLLWLGSASA-N
MC-0045,1,    ,O=S(C)(=O)NC1CCCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCCC2=O,CS(=O)(=O)NC1CCCN2C(=O)CCOc3ccccc3C3CCC(CC3)OCC12,0.15,10^-6 cm/s,Papp AB,-6.824,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,14,0,1,1,C1CCCOCCNCCCOCC1,CC1CCCc2ccccc2OCCC(=O)N2CCCCC2CO1,0.0,0.215,5,1,2.421,436.574,5,1,30,22,0.682,84.94,2,6.649,SPLSRXBNJHKIQY-UHFFFAOYSA-N
MC-0046,2,    ,O=S(C)(=O)NC1C2COC3CCC(CC3)C3=CC=CC=C3OCC(=O)N2CCC1,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CC3)OCC12,0.89,10^-6 cm/s,Papp AB,-6.051,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1,1,C1CCCOCCNCCOCC1,CC1CCCc2ccccc2OCC(=O)N2CCCCC2CO1,0.0,0.231,5,1,2.031,422.547,5,1,29,21,0.667,84.94,2,6.127,IHNJMACFBQEKRJ-UHFFFAOYSA-N
MC-0047,3,    ,O=S(C)(NC1CCCN2C1COC1CCC(CC1)C1=CC=CC=C1OCCCCC2=O)=O,CS(=O)(=O)NC1CCCN2C(=O)CCCCOc3ccccc3C3CCC(CC3)OCC12,0.8,10^-6 cm/s,Papp AB,-6.097,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,16,0,1,1,C1CCCOCCNCCCCCOCC1,CC1CCCc2ccccc2OCCCCC(=O)N2CCCCC2CO1,0.0,0.188,5,1,3.201,464.628,5,1,32,24,0.708,84.94,2,7.737,XSJIWOISJPLCSU-UHFFFAOYSA-N
MC-0048,4,    ,O=S(C)(NC1CCCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCCCC2=O)=O,CS(=O)(=O)NC1CCCN2C(=O)CCCOc3ccccc3C3CCC(CC3)OCC12,0.47,10^-6 cm/s,Papp AB,-6.328,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,15,0,1,1,C1CCCOCCNCCCCOCC1,CC1CCCc2ccccc2OCCCC(=O)N2CCCCC2CO1,0.0,0.2,5,1,2.811,450.601,5,1,31,23,0.696,84.94,2,7.185,AQOHEDGJVWREFQ-UHFFFAOYSA-N
MC-0049,6,    ,O=S(C)(=O)NC1CCCN2CCOC3=CC=CC=C3C3CCC(CC3)OCC21,CS(=O)(=O)NC1CCCN2CCOc3ccccc3C3CCC(CC3)OCC12,21,10^-6 cm/s,Papp AB,-4.678,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,0,0,C1CCCOCCNCCOCC1,CC1CCCc2ccccc2OCCN2CCCCC2CO1,0.0,0.0,5,1,2.504,408.564,5,1,28,21,0.714,67.87,2,6.252,PXGBFKGVUVNLCZ-UHFFFAOYSA-N
MC-0050,7,    ,O=S(C)(=O)NC1CCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCC2=O,CS(=O)(=O)NC1CCN2C(=O)COc3ccccc3C3CCC(CC3)OCC12,14,10^-6 cm/s,Papp AB,-4.854,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1,1,C1CCCOCCNCCOCC1,CC1CCCc2ccccc2OCC(=O)N2CCCC2CO1,0.0,0.231,5,1,1.641,408.52,5,1,28,20,0.65,84.94,2,5.622,SCWPDGYQZIKHQQ-UHFFFAOYSA-N
MC-0051,8,    ,O=S(C)(=O)NC1CCCN2C1COC1COC(CC1)C1C(=CC=CC=1)OCC2=O,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CO3)OCC12,0.48,10^-6 cm/s,Papp AB,-6.319,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1,1,C1CCCOCCNCCOCC1,CC1CCCc2ccccc2OCC(=O)N2CCCCC2CO1,0.0,0.231,5,1,1.225,424.519,6,1,29,20,0.65,94.17,2,6.098,JCGVOBXYVFAINW-UHFFFAOYSA-N
MC-0051,9,    ,O=S(C)(=O)NC1CCCN2C1COC1CCC(C3C(=CC=CC=3)OCC2=O)OC1,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CO3)OCC12,0.45,10^-6 cm/s,Papp AB,-6.347,Log Papp AB,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1,1,C1CCCOCCNCCOCC1,CC1CCCc2ccccc2OCC(=O)N2CCCCC2CO1,0.0,0.231,5,1,1.225,424.519,6,1,29,20,0.65,94.17,2,6.098,JCGVOBXYVFAINW-UHFFFAOYSA-N
