ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0001,Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,C[C@H]1Nc2nc3c(cnn3cc2F)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,11.13,10^-6 cm/s,Papp AB,-4.954,Log Papp AB,11.13,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (A-B) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.229,386.362,7,2,28,18,0.333,93.44,0,0,0,3.677,JXLZJPYLDDSEQF-IEBDPFPHSA-N
MC-0001,Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,C[C@H]1Nc2nc3c(cnn3cc2F)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,51.91,10^-6 cm/s,Papp BA,-4.285,Log Papp BA,51.91,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (B-A) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.229,386.362,7,2,28,18,0.333,93.44,0,0,0,3.677,JXLZJPYLDDSEQF-IEBDPFPHSA-N
MC-0001,Ib,Trk-IN-8,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C(=CN1C=2N=3)F)=O,C[C@H]1Nc2nc3c(cnn3cc2F)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,4.67,    ,ER,4.67,ER,4.67,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Excretion ratio= Papp (B-A) / Papp (A-B)",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.229,386.362,7,2,28,18,0.333,93.44,0,0,0,3.677,JXLZJPYLDDSEQF-IEBDPFPHSA-N
MC-0002,Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,C[C@H]1Nc2ccn3ncc(c3n2)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,3.31,10^-6 cm/s,Papp AB,-5.48,Log Papp AB,3.31,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (A-B) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.09,368.372,7,2,27,18,0.333,93.44,0,0,0,3.492,MPTHHGRJSLVPSX-JLLWLGSASA-N
MC-0002,Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,C[C@H]1Nc2ccn3ncc(c3n2)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,64.41,10^-6 cm/s,Papp BA,-4.191,Log Papp BA,64.41,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Papp (B-A) ",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.09,368.372,7,2,27,18,0.333,93.44,0,0,0,3.492,MPTHHGRJSLVPSX-JLLWLGSASA-N
MC-0002,Positive control 2,Trk-IN-7,N1=CC2C(N[C@H]3C[C@H](C3)OC3C(=CC(=CN=3)F)[C@@H](C)NC3C=CN1C=2N=3)=O,C[C@H]1Nc2ccn3ncc(c3n2)C(=O)N[C@H]2C[C@H](C2)Oc2ncc(F)cc21,19.42,    ,ER,19.42,ER,19.42,MDCK,"Data of bidirectional permeability study on test compound on MDCK-MDR1 cell line in the same batch, Excretion ratio= Papp (B-A) / Papp (A-B)",https://patentimages.storage.googleapis.com/d6/53/bc/317137008ae45e/EP4074715A1.pdf,Patents,EP4074715A1,"(Yang et al., 2023)",2022,14,1,0,1,C1=CN=CNCCCOCCCNC1,C=CC1=NC=C(C)C(=O)NC2CC(C2)OCC(=CC(=C)F)C(C)N1,0.215,0.215,6,3,2.09,368.372,7,2,27,18,0.333,93.44,0,0,0,3.492,MPTHHGRJSLVPSX-JLLWLGSASA-N
MC-0045,1,    ,O=S(C)(=O)NC1CCCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCCC2=O,CS(=O)(=O)NC1CCCN2C(=O)CCOc3ccccc3C3CCC(CC3)OCC12,0.15,10^-6 cm/s,Papp AB,-6.824,Log Papp AB,0.15,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,14,0,1,1,C1CCCOCCNCCCOCC1,CC1CCCc2ccccc2OCCC(=O)N2CCCCC2CO1,0.0,0.215,5,1,2.421,436.574,5,1,30,22,0.682,84.94,2,0,0,6.649,SPLSRXBNJHKIQY-UHFFFAOYSA-N
MC-0045,1,    ,O=S(C)(=O)NC1CCCN2C1COC1CCC(CC1)C1C(=CC=CC=1)OCCC2=O,CS(=O)(=O)NC1CCCN2C(=O)CCOc3ccccc3C3CCC(CC3)OCC12,>100,    ,ER,100.0,ER,100.0,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,14,0,1,1,C1CCCOCCNCCCOCC1,CC1CCCc2ccccc2OCCC(=O)N2CCCCC2CO1,0.0,0.215,5,1,2.421,436.574,5,1,30,22,0.682,84.94,2,0,0,6.649,SPLSRXBNJHKIQY-UHFFFAOYSA-N
MC-0046,2,    ,O=S(C)(=O)NC1C2COC3CCC(CC3)C3=CC=CC=C3OCC(=O)N2CCC1,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CC3)OCC12,39,    ,ER,39.0,ER,39.0,MDCK,Efflux ratio,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1,1,C1CCCOCCNCCOCC1,CC1CCCc2ccccc2OCC(=O)N2CCCCC2CO1,0.0,0.231,5,1,2.031,422.547,5,1,29,21,0.667,84.94,2,0,0,6.127,IHNJMACFBQEKRJ-UHFFFAOYSA-N
MC-0046,2,    ,O=S(C)(=O)NC1C2COC3CCC(CC3)C3=CC=CC=C3OCC(=O)N2CCC1,CS(=O)(=O)NC1CCCN2C(=O)COc3ccccc3C3CCC(CC3)OCC12,0.89,10^-6 cm/s,Papp AB,-6.051,Log Papp AB,0.89,MDCK,Papp A-B ,https://patentimages.storage.googleapis.com/ed/4b/d0/7bb0780fdf540a/WO2021108628A1.pdf,Patents,WO2021108628A1,"(Pennington et al., 2021)",2021,13,0,1,1,C1CCCOCCNCCOCC1,CC1CCCc2ccccc2OCC(=O)N2CCCCC2CO1,0.0,0.231,5,1,2.031,422.547,5,1,29,21,0.667,84.94,2,0,0,6.127,IHNJMACFBQEKRJ-UHFFFAOYSA-N
