ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Free_Amide_Ratio,Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Kier_index,InchiKey
MC-0085,T-079,Erythromycin,O([C@@H]1[C@@H](C)[C@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@@H](C)C(=O)O[C@H](CC)[C@](O)(C)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@]1(O)C)[C@H]1[C@H](O)[C@@H](N(C)C)C[C@@H](C)O1,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,0.22,10^-6 cm/s,Papp,-6.658,Log Papp,PAMPA,PAMPA_Analysis: LC-MS/MS,https://doi.org/10.1016/j.bmcl.2021.127847,Journals,10.1016/j.bmcl.2021.127847,"(Miyachi et al., 2021)",2021,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CCCC(OC2C(C)C(OCCC(C)(O)CO)C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C(C)CC2(C)O)O1,0.0,0.0,3,0,1.786,733.937,14,5,51,37,0.946,193.91,7,14.712,ULGZDMOVFRHVEP-RWJQBGPGSA-N
MC-0085,erythromycin,Erythromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1.3±0.1,nm/s,Papp,-6.886,Log Papp,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CCCC(OC2C(C)C(OCCC(C)(O)CO)C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C(C)CC2(C)O)O1,0.0,0.0,3,0,1.786,733.937,14,5,51,37,0.946,193.91,7,14.712,ULGZDMOVFRHVEP-RWJQBGPGSA-N
MC-0086,clarithromycin ,Clarithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,37.8±1.7,nm/s,Papp,-5.423,Log Papp,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CCCC(OC2C(C)C(OCCC(C)(O)CO)C(C)C(=O)OC(C)C(C)C(O)C(C)C(=O)C(C)CC2(C)O)O1,0.0,0.0,3,0,2.44,747.964,14,4,52,38,0.947,182.91,8,15.313,AGOYDEPGAOXOCK-KCBOHYOISA-N
MC-0087,roxithromycin ,Roxithromycin ,CC[C@@H]1[C@@]([C@@H]([C@H](/C(=N/OCOCCOC)/[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,35.6±1.5,nm/s,Papp,-5.449,Log Papp,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CC(C)C(O)C(C)C(C)OC(=O)C(C)C(OCCC(C)(O)CO)C(C)C(OC2CCCC(C)O2)C(C)(O)C1,0.0,0.0,3,0,2.21,837.058,17,5,58,41,0.951,216.89,13,18.801,RXZBMPWDPOLZGW-XMRMVWPWSA-N
MC-0087,T-180,Roxithromycin ,O(/N=C\1/[C@H](C)[C@@H](O)[C@@](O)(C)[C@@H](CC)OC(=O)[C@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@H](O)[C@@](OC)(C)C2)[C@H](C)[C@@H](O[C@H]2[C@H](O)[C@@H](N(C)C)C[C@@H](C)O2)[C@@](O)(C)C[C@H]/1C)COCCOC,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)/C(=N\OCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,0.76,10^-6 cm/s,Papp,-6.119,Log Papp,PAMPA,PAMPA_Analysis: LC-MS/MS,https://doi.org/10.1016/j.bmcl.2021.127847,Journals,10.1016/j.bmcl.2021.127847,"(Miyachi et al., 2021)",2021,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CC(C)C(O)C(C)C(C)OC(=O)C(C)C(OCCC(C)(O)CO)C(C)C(OC2CCCC(C)O2)C(C)(O)C1,0.0,0.0,3,0,2.21,837.058,17,5,58,41,0.951,216.89,13,18.801,RXZBMPWDPOLZGW-XMRMVWPWSA-N
MC-0088,azithromycin ,Azithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O  ,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,10.1±0.9,nm/s,Papp,-5.996,Log Papp,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,15,0,0,0,C1CCCCNCCCCOCCCC1,CC1CN(C)C(C)C(O)C(C)C(C)OC(=O)C(C)C(OCCC(C)(O)CO)C(C)C(OC2CCCC(C)O2)C(C)(O)C1,0.0,0.0,3,0,1.901,748.996,14,5,52,38,0.974,180.08,7,15.575,MQTOSJVFKKJCRP-BICOPXKESA-N
MC-0089,Telithromycin,Telithromycin,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,0.13±0.03,nm/s,Papp,-7.886,Log Papp,PAMPA,Papp in PAMPA at pH=7.4 for 24 h at room temperature,https://hrcak.srce.hr/62210,Journals,https://hrcak.srce.hr/62210,"(Nožinić et al., 2010)",2010,14,0,0,0,C1CCCCCCOCCCCCC1,CC1CCCC(OC2C(C)C(=O)C(C)C(=O)OC(C)C(OC=O)CC(C)C(=O)C(C)CC2(C)O)O1,0.0,0.0,5,2,4.929,812.018,14,1,58,43,0.721,171.85,11,14.583,LJVAJPDWBABPEJ-PNUFFHFMSA-N
MC-0091,cyclo-Pro-Gly-Leu-Gly-Phe-Odz,    ,[H][C@@]12CCCN1[C@H](C3=NN=C([C@@H](NC(CNC([C@@H](NC(CNC2=O)=O)CC(C)C)=O)=O)CC4=CC=CC=C4)O3)CC,CC[C@H]1c2nnc(o2)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H]2CCCN21,7.75±0.07,    ,Minus_Log P app,-7.75,Log Papp,PAMPA,"-Log Papp, determined using PAMPA with carbamazepine as an internal standard. Retention time determined using LC-MS, gradient 95 % H2O/5 % MeCN to 100 % MeCN over 15 min. Thz=Thiazole, Oxz=Oxazole, Odz=Oxadiazole.Carbamazepine was included in the stock so",https://doi.org/10.1002/anie.202206866,Journals,10.1002/anie.202206866,"(Saunders et al., 2022)",2022,18,4,0,4,C1CNCCNCCOCCNCCNCCN1,CCC1NC(C)COCC(Cc2ccccc2)NC(=O)CNC(=O)C(C)NC(=O)CNC1=O,0.666,0.666,4,2,1.162,553.664,8,4,40,28,0.571,158.56,5,9.86,HVKUSJUJIMNWPN-CMOCDZPBSA-N
MC-0094,cyclo-Pro-Thz-Leu-Oxz-Phe-Ala,    ,[H][C@@]12CCCN1C([C@@H](NC([C@@H](NC(C3=COC([C@@H](NC(C4=CSC2=N4)=O)CC(C)C)=N3)=O)CC5=CC=CC=C5)=O)C)=O,CC(C)C[C@@H]1NC(=O)c2csc(n2)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)c2coc1n2,5.84±0.04,    ,Minus_Log P app,-5.84,Log Papp,PAMPA,"-Log Papp, determined using PAMPA with carbamazepine as an internal standard. Retention time determined using LC-MS, gradient 95 % H2O/5 % MeCN to 100 % MeCN over 15 min. Thz=Thiazole, Oxz=Oxazole, Odz=Oxadiazole.Carbamazepine was included in the stock so",https://doi.org/10.1002/anie.202206866,Journals,10.1002/anie.202206866,"(Saunders et al., 2022)",2022,18,3,1,4,C1=NCCNCC=NCCNCCNCCNC1,C=C1N=CC(C)NC(=O)c2csc(n2)C2CCCN2C(=O)C(C)NC(=O)C(Cc2ccccc2)NC1=O,0.5,0.666,5,3,3.171,578.695,8,3,41,29,0.448,146.53,4,8.479,ZTZPZIIPLULALX-UDSSINMLSA-N
MC-0095,cyclo-Pro-Gly-Leu-Oxz-Phe-Odz,    ,[H][C@@]12CCCN1[C@H](CC)C1=NN=C(O1)[C@H](CC1=CC=CC=C1)NC(=O)C1=COC(=N1)[C@H](CC(C)C)NC(=O)CNC2=O,CC[C@@H]1c2nnc(o2)[C@H](Cc2ccccc2)NC(=O)c2coc(n2)[C@H](CC(C)C)NC(=O)CNC(=O)[C@@H]2CCCN21,7.62±0.10,    ,Minus_Log P app,-7.62,Log Papp,PAMPA,"-Log Papp, determined using PAMPA with carbamazepine as an internal standard. Retention time determined using LC-MS, gradient 95 % H2O/5 % MeCN to 100 % MeCN over 15 min. Thz=Thiazole, Oxz=Oxazole, Odz=Oxadiazole.Carbamazepine was included in the stock so",https://doi.org/10.1002/anie.202206866,Journals,10.1002/anie.202206866,"(Saunders et al., 2022)",2022,18,3,0,3,C1=NCCNCCOCCNCCNCCNC1,CCC1NC(C)COCC(Cc2ccccc2)NC(=O)c2coc(n2)C(C)NC(=O)CNC1=O,0.5,0.5,5,3,3.02,563.659,9,3,41,29,0.517,155.49,5,8.77,KEPKBWQUZCBILK-RLBLXZPPSA-N
