ID,Original_ID,Common_name,SMILES,Standardise_SMILES,Value,Unit,Endpoint,Standardized_Value,Standardized_Endpoint,No_symbol_Value,Assay,Description,Link,Source Type,Source,Citation,Publish_Year,Macrocycle_Ring_Size,Macrocycle_Free_Amide_Count,Macrocycle_Substituted_Amide_Count,Macrocycle_Overall_Amide_Count,Macrocycle_Core_smiles,Macrocycle_Peripheral_smiles,Macrocycle_Free_Amide_Ratio,Macrocycle_Overall_Amide_Ratio,Num_Rings,Num_Aromatic_Rings,cLogP,Molecular_Weight,Num_H_Acceptors,Num_H_Donors,Num_Heavy_Atoms,Num_Carbon_Atoms,Fraction_SP3_Carbons,TPSA,Num_Rotatable_Bonds,Num_Charged_Atoms,Net_Charge,Kier_index,InchiKey
MC-0131,Didemnin A ,Didemnin A ,CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)NC)C)CC3=CC=C(C=C3)OC)C)CC(C)C)C)C(C)C)O,CC[C@H](C)[C@H]1NC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC)[C@@H](C)OC(=O)[C@H](Cc2ccc(OC)cc2)N(C)C(=O)[C@@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)C(=O)[C@H](C(C)C)OC(=O)C[C@@H]1O,-5.89,    ,Log Peff,-5.89,Log Peff,-5.89,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,23,2,2,4,C1CCOCCCCNCCNCCNCCOCCCNC1,CC1CCC(=O)OC(C)C(=O)C(C)C(=O)NC(C)C(=O)N2CCCC2C(=O)N(C)C(Cc2ccc(O)cc2)C(=O)OC(C)CC(=O)N1,0.261,0.522,3,1,2.706,943.193,13,5,67,49,0.714,239.08,13,0,0,21.711,XQZOGOCTPKFYKC-VSZULPIASA-N
MC-0132,Enniatin B,Enniatin B,CC(C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,-4.73,    ,Log Peff,-4.73,Log Peff,-4.73,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,18,1,2,3,C1COCCNCCOCCNCCOCCN1,CC1NC(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)OC1=O,0.167,0.5,1,0,3.152,639.831,9,0,45,33,0.818,139.83,6,0,0,14.522,MIZMDSVSLSIMSC-VYLWARHZSA-N
MC-0133,Enniatin H ,Enniatin H ,CC[C@H](C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)C(C)C)C)C(C)C)C(C)C)C)C(C)C)C(C)C)C,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C1=O,-5.66,    ,Log Peff,-5.66,Log Peff,-5.66,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,18,0,3,3,C1COCCNCCOCCNCCOCCN1,CC1OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C1=O,0.0,0.5,1,0,3.543,653.858,9,0,46,34,0.824,139.83,7,0,0,15.191,GLJAZFODNQNIGM-UMURLBKASA-N
MC-0134,Enniatin I,Enniatin I,CC[C@H](C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)C(C)C)C)[C@@H](C)CC)C(C)C)C)C(C)C)C(C)C)C录氓露猫驴鹿,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H](C(C)C)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C1=O,-5.34,    ,Log Peff,-5.34,Log Peff,-5.34,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,18,0,3,3,C1COCCNCCOCCNCCOCCN1,CC1OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C1=O,0.0,0.5,1,0,3.933,667.885,9,0,47,35,0.829,139.83,8,0,0,15.868,APMPIOHITHNSGF-CIRFPNLUSA-N
MC-0135,Enniatin J1 ,Enniatin J1 ,C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C录氓露猫驴鹿,CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C)C(=O)O[C@H](C(C)C)C(=O)N1C,-5.45,    ,Log Peff,-5.45,Log Peff,-5.45,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,18,1,2,3,C1COCCNCCOCCNCCOCCN1,CC1NC(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)OC1=O,0.167,0.5,1,0,2.516,611.777,9,0,43,31,0.806,139.83,5,0,0,13.657,IEUFDXNGDNWAKU-MAKNZWJESA-N
MC-0136,Enniatin MK1 688 ,Enniatin MK1 688 ,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C1=O,CC[C@H](C)[C@H]1OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C1=O,-5.99,    ,Log Peff,-5.99,Log Peff,-5.99,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,18,0,3,3,C1COCCNCCOCCNCCOCCN1,CC1OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)OC(=O)C(C)N(C)C1=O,0.0,0.5,1,0,4.323,681.912,9,0,48,36,0.833,139.83,9,0,0,16.553,KMROBKXFMBWHHE-BHZTXFQCSA-N
MC-0137,Guangomide A,Guangomide A,C[C@@H]1C(=O)N([C@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@H](C(=O)N([C@@H](C(=O)N1)CC2=CC=CC=C2)C)CC(C)C)C)C(C)(C)O)C)C录氓露猫驴鹿,CC(C)C[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H](C(C)(C)O)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C1=O,-5.19,    ,Log Peff,-5.19,Log Peff,-5.19,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,18,2,2,4,C1CNCCOCCNCCOCCNCCN1,CC1NC(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C)OC1=O,0.333,0.666,2,1,0.567,618.728,9,3,44,31,0.613,171.65,5,0,0,12.449,HLYUQLKTDIGSLM-SSVGBVEASA-N
MC-0138,Guangomide B,Guangomide B,C[C@@H]1C(=O)N([C@H](C(=O)O[C@H](C(=O)N[C@H](C(=O)O[C@H](C(=O)N([C@@H](C(=O)N1)CC2=CC=CC=C2)C)CC(C)C)C)C(C)C)C)C录氓露猫驴鹿,CC(C)C[C@@H]1OC(=O)[C@H](C)NC(=O)[C@H](C(C)C)OC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](Cc2ccccc2)N(C)C1=O,-5.19,    ,Log Peff,-5.19,Log Peff,-5.19,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,18,2,2,4,C1CNCCOCCNCCOCCNCCN1,CC1NC(=O)C(C)OC(=O)C(C)N(C)C(=O)C(C)NC(=O)C(Cc2ccccc2)N(C)C(=O)C(C)OC1=O,0.333,0.666,2,1,1.452,602.729,8,2,43,31,0.613,151.42,5,0,0,12.696,VZKHONQQPODJMO-HYRPPVSQSA-N
MC-0141,Patellamide C,Patellamide C,CC[C@H](C)[C@H]1C2=N[C@@H]([C@H](O2)C)C(=O)N[C@@H](C3=NC(=CS3)C(=O)N[C@H](C4=N[C@@H]([C@H](O4)C)C(=O)N[C@@H](C5=NC(=CS5)C(=O)N1)C)C(C)C)CC6=CC=CC=C6录氓露猫驴鹿,CC[C@H](C)[C@@H]1NC(=O)c2csc(n2)[C@@H](C)NC(=O)[C@H]2N=C(O[C@@H]2C)[C@H](C(C)C)NC(=O)c2csc(n2)[C@@H](Cc2ccccc2)NC(=O)[C@H]2N=C1O[C@@H]2C,-4.72,    ,Log Peff,-4.72,Log Peff,-4.72,PAMPA,Log Pe over the 16 h PAMPA time scale,https://doi.org/10.4155/fmc.15.78,Journals,10.4155/fmc.15.78,"(Ahlbach et al., 2015)",2015,24,4,0,4,C1=NCCNCC=NCCNCC=NCCNCC=NCCNC1,CC1NC(=O)c2csc(n2)C(C)NC(=O)C2COC(=N2)C(C)NC(=O)c2csc(n2)C(Cc2ccccc2)NC(=O)C2COC1=N2,0.5,0.5,6,3,4.161,762.959,12,4,53,37,0.514,185.36,5,0,0,11.572,CFXBLGFMQUFLKS-FUEDQDKVSA-N
MC-0154,BAS_52171383,    ,O=C1C2(CCN(Cc3ccc(C(C)C)cc3)CC2)CCCCOCC(C)NC(=O)C(CC(C)C)N1,CC(C)CC1NC(=O)C2(CCCCOCC(C)NC1=O)CCN(Cc1ccc(C(C)C)cc1)CC2,-5.027,    ,Log Peff,-5.027,Log Peff,-5.0273342,PAMPA,log Peff = log{C -  ln(1- [drug]acceptor /[drug]equilibrium)},https://doi.org/10.1021/acs.jmedchem.1c02090,Journals,10.1021/acs.jmedchem.1c02090,"(Rzepiela et al., 2022)",2022,13,2,0,2,C1CCCOCCNCCNCC1,CCC1(C)CCCCOCC(C)NC(=O)C(C)NC1=O,0.462,0.462,3,1,4.628,485.713,4,2,35,29,0.724,70.67,5,0,0,10.168,CPRMCLZNTHMCFL-UHFFFAOYSA-N
